theta,intensity
58.9200,0.219
58.9600,0.206
59.0000,0.207
59.0400,0.228
59.0800,0.217
59.1200,0.199
59.1600,0.193
59.2000,0.209
59.2400,0.189
59.2800,0.206
59.3200,0.218
59.3600,0.215
59.4000,0.192
59.4400,0.196
59.4800,0.199
59.5200,0.209
59.5600,0.201
59.6000,0.238
59.6400,0.228
59.6800,0.215
59.7200,0.206
59.7600,0.203
59.8000,0.209
59.8400,0.205
59.8800,0.212
59.9200,0.221
59.9600,0.224
60.0000,0.197
60.0400,0.204
60.0800,0.229
60.1200,0.197
60.1600,0.194
60.2000,0.192
60.2400,0.192
60.2800,0.225
60.3200,0.198
60.3600,0.202
60.4000,0.201
60.4400,0.208
60.4800,0.208
60.5200,0.183
60.5600,0.209
60.6000,0.183
60.6400,0.215
60.6800,0.211
60.7200,0.219
60.7600,0.211
60.8000,0.201
60.8400,0.192
60.8800,0.202
60.9200,0.223
60.9600,0.211
61.0000,0.198
61.0400,0.211
61.0800,0.207
61.1200,0.219
61.1600,0.215
61.2000,0.212
61.2400,0.193
61.2800,0.215
61.3200,0.209
61.3600,0.200
61.4000,0.208
61.4400,0.201
61.4800,0.206
61.5200,0.198
61.5600,0.202
61.6000,0.198
61.6400,0.203
61.6800,0.216
61.7200,0.202
61.7600,0.202
61.8000,0.202
61.8400,0.217
61.8800,0.224
61.9200,0.215
61.9600,0.225
62.0000,0.229
62.0400,0.211
62.0800,0.192
62.1200,0.210
62.1600,0.202
62.2000,0.225
62.2400,0.205
62.2800,0.217
62.3200,0.223
62.3600,0.194
62.4000,0.196
62.4400,0.199
62.4800,0.220
62.5200,0.231
62.5600,0.217
62.6000,0.205
62.6400,0.227
62.6800,0.211
62.7200,0.216
62.7600,0.214
62.8000,0.224
62.8400,0.231
62.8800,0.228
62.9200,0.225
62.9600,0.214
63.0000,0.229
63.0400,0.224
63.0800,0.210
63.1200,0.231
63.1600,0.225
63.2000,0.228
63.2400,0.227
63.2800,0.210
63.3200,0.243
63.3600,0.209
63.4000,0.220
63.4400,0.221
63.4800,0.246
63.5200,0.243
63.5600,0.235
63.6000,0.219
63.6400,0.201
63.6800,0.216
63.7200,0.237
63.7600,0.238
63.8000,0.236
63.8400,0.233
63.8800,0.214
63.9200,0.244
63.9600,0.212
64.0000,0.227
64.0400,0.227
64.0800,0.231
64.1200,0.237
64.1600,0.228
64.2000,0.256
64.2400,0.261
64.2800,0.263
64.3200,0.247
64.3600,0.242
64.4000,0.256
64.4400,0.269
64.4800,0.263
64.5200,0.261
64.5600,0.280
64.6000,0.267
64.6400,0.263
64.6800,0.270
64.7200,0.248
64.7600,0.264
64.8000,0.265
64.8400,0.252
