scan_number, cell_name, time
1047475, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 07:35:28.626000
1047481, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 07:39:50.683000
1047487, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 07:44:14.101000
1047493, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 07:48:37.031000
1047499, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 07:52:58.762000
1047505, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 07:57:20.773000
1047511, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 08:01:43.180000
1047517, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 08:06:03.720000
1047523, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 08:10:26.328000
1047529, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 08:14:47.984000
1047535, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 08:19:10.981000
1047541, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 08:23:33.078000
1047547, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 08:27:55.247000
1047553, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 08:32:17.634000
1047559, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 08:36:40.591000
1047565, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 08:41:03.665000
1047571, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 08:45:24.718000
1047577, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 08:49:47.346000
1047583, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 08:54:08.738000
1047589, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 08:58:29.656000
1047595, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 09:02:52.441000
1047601, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 09:07:14.646000
1047607, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 09:11:36.714000
1047613, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 09:16:00.217000
1047619, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 09:20:23.224000
1047625, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 09:24:45.990000
1047631, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 09:29:09.426000
1047637, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 09:33:32.970000
1047643, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 09:37:56.362000
1047649, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 09:42:18.106000
1047655, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 09:46:40.147000
1047661, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 09:51:02.692000
1047667, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 09:55:24.684000
1047673, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 09:59:46.742000
1047679, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 10:04:09.233000
1047685, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 10:08:30.662000
