Sourcefile	20221128 134958 TGA MS Megan.qmp
Exporttime	28/11/2022 15:24:02

Start Time	28/11/2022 13:51:12
End Time	28/11/2022 15:21:44

		14			16			Water			Nitrogen/Carbonmonoxide			Oxygen			Argon			Carbondioxide	
Time	Time Relative [s]	Partial Pressure [mbar]	Time	Time Relative [s]	Partial Pressure [mbar]	Time	Time Relative [s]	Partial Pressure [mbar]	Time	Time Relative [s]	Partial Pressure [mbar]	Time	Time Relative [s]	Partial Pressure [mbar]	Time	Time Relative [s]	Partial Pressure [mbar]	Time	Time Relative [s]	Partial Pressure [mbar]	
28/11/2022 13:54:31	199.169	1.076783e-011	28/11/2022 13:54:31	199.381	8.800465e-012	28/11/2022 13:54:31	199.599	9.490111e-014	28/11/2022 13:54:32	200.638	3.258196e-013	28/11/2022 13:54:33	201.680	1.583995e-013	28/11/2022 13:54:34	201.892	3.981807e-014	28/11/2022 13:54:35	202.932	4.273452e-014
28/11/2022 13:54:35	203.145	1.067527e-011	28/11/2022 13:54:35	203.360	8.953690e-012	28/11/2022 13:54:35	203.578	6.420288e-014	28/11/2022 13:54:36	204.618	3.398118e-013	28/11/2022 13:54:37	205.659	1.514463e-013	28/11/2022 13:54:38	205.873	2.865282e-014	28/11/2022 13:54:39	206.916	4.257785e-014
28/11/2022 13:54:39	207.128	1.061936e-011	28/11/2022 13:54:39	207.341	9.053132e-012	28/11/2022 13:54:39	207.558	7.141829e-014	28/11/2022 13:54:40	208.601	3.494810e-013	28/11/2022 13:54:41	209.640	1.466534e-013	28/11/2022 13:54:42	209.857	4.906500e-014	28/11/2022 13:54:43	210.898	4.334258e-014
28/11/2022 13:54:43	211.112	1.076413e-011	28/11/2022 13:54:43	211.325	8.886185e-012	28/11/2022 13:54:43	211.542	8.983757e-014	28/11/2022 13:54:44	212.582	3.423474e-013	28/11/2022 13:54:45	213.623	1.648314e-013	28/11/2022 13:54:45	213.836	5.960567e-014	28/11/2022 13:54:47	214.876	3.720638e-014
28/11/2022 13:54:47	215.089	1.094267e-011	28/11/2022 13:54:47	215.302	8.654172e-012	28/11/2022 13:54:47	215.520	6.802283e-014	28/11/2022 13:54:48	216.561	3.230514e-013	28/11/2022 13:54:49	217.601	1.760542e-013	28/11/2022 13:54:49	217.814	3.727650e-014	28/11/2022 13:54:51	218.855	3.461575e-014
28/11/2022 13:54:51	219.068	1.091557e-011	28/11/2022 13:54:51	219.281	9.295030e-012	28/11/2022 13:54:51	219.499	7.293198e-014	28/11/2022 13:54:52	220.540	3.604913e-013	28/11/2022 13:54:53	221.580	1.674532e-013	28/11/2022 13:54:53	221.794	4.946967e-014	28/11/2022 13:54:54	222.833	4.475227e-014
28/11/2022 13:54:55	223.047	1.086300e-011	28/11/2022 13:54:55	223.260	8.863551e-012	28/11/2022 13:54:55	223.478	8.544542e-014	28/11/2022 13:54:56	224.517	3.407552e-013	28/11/2022 13:54:57	225.559	1.552267e-013	28/11/2022 13:54:57	225.772	5.140596e-014	28/11/2022 13:54:58	226.812	4.037468e-014
28/11/2022 13:54:59	227.024	1.065490e-011	28/11/2022 13:54:59	227.237	8.641057e-012	28/11/2022 13:54:59	227.455	9.524354e-014	28/11/2022 13:55:00	228.496	3.392403e-013	28/11/2022 13:55:01	229.536	1.650617e-013	28/11/2022 13:55:01	229.748	5.441340e-014	28/11/2022 13:55:02	230.789	4.524730e-014
28/11/2022 13:55:03	231.002	1.103485e-011	28/11/2022 13:55:03	231.215	8.704195e-012	28/11/2022 13:55:03	231.436	7.685389e-014	28/11/2022 13:55:04	232.476	3.340857e-013	28/11/2022 13:55:05	233.518	1.522748e-013	28/11/2022 13:55:05	233.731	4.259952e-014	28/11/2022 13:55:06	234.770	3.816405e-014
28/11/2022 13:55:07	234.983	1.086655e-011	28/11/2022 13:55:07	235.196	8.806838e-012	28/11/2022 13:55:07	235.415	8.097801e-014	28/11/2022 13:55:08	236.458	3.429729e-013	28/11/2022 13:55:09	237.497	1.699427e-013	28/11/2022 13:55:09	237.710	4.914755e-014	28/11/2022 13:55:10	238.751	4.175396e-014
28/11/2022 13:55:11	238.965	1.049486e-011	28/11/2022 13:55:11	239.177	8.909243e-012	28/11/2022 13:55:11	239.389	6.512177e-014	28/11/2022 13:55:12	240.428	3.309482e-013	28/11/2022 13:55:13	241.469	1.572708e-013	28/11/2022 13:55:13	241.682	3.008553e-014	28/11/2022 13:55:14	242.722	4.069538e-014
28/11/2022 13:55:15	242.935	1.075421e-011	28/11/2022 13:55:15	243.148	9.004427e-012	28/11/2022 13:55:15	243.366	6.809045e-014	28/11/2022 13:55:16	244.406	3.297053e-013	28/11/2022 13:55:17	245.446	1.508691e-013	28/11/2022 13:55:17	245.660	3.132407e-014	28/11/2022 13:55:18	246.702	4.031453e-014
28/11/2022 13:55:19	246.915	1.076819e-011	28/11/2022 13:55:19	247.128	8.637772e-012	28/11/2022 13:55:19	247.340	9.174922e-014	28/11/2022 13:55:20	248.381	3.422654e-013	28/11/2022 13:55:21	249.421	1.560663e-013	28/11/2022 13:55:21	249.634	5.392659e-014	28/11/2022 13:55:22	250.674	4.428027e-014
28/11/2022 13:55:23	250.887	1.058746e-011	28/11/2022 13:55:23	251.100	9.182085e-012	28/11/2022 13:55:23	251.317	9.940902e-014	28/11/2022 13:55:24	252.357	3.377300e-013	28/11/2022 13:55:25	253.396	1.512999e-013	28/11/2022 13:55:25	253.609	5.355725e-014	28/11/2022 13:55:26	254.650	3.967422e-014
28/11/2022 13:55:27	254.863	1.099199e-011	28/11/2022 13:55:27	255.077	8.802002e-012	28/11/2022 13:55:27	255.290	8.774848e-014	28/11/2022 13:55:28	256.333	3.208151e-013	28/11/2022 13:55:29	257.373	1.575453e-013	28/11/2022 13:55:29	257.587	6.918893e-014	28/11/2022 13:55:30	258.628	3.697205e-014
28/11/2022 13:55:30	258.841	1.064424e-011	28/11/2022 13:55:31	259.054	8.727512e-012	28/11/2022 13:55:31	259.273	1.214179e-013	28/11/2022 13:55:32	260.315	3.341549e-013	28/11/2022 13:55:33	261.357	1.764010e-013	28/11/2022 13:55:33	261.570	4.256822e-014	28/11/2022 13:55:34	262.611	3.837904e-014
28/11/2022 13:55:34	262.823	1.070158e-011	28/11/2022 13:55:35	263.036	8.898504e-012	28/11/2022 13:55:35	263.250	9.918513e-014	28/11/2022 13:55:36	264.292	3.184529e-013	28/11/2022 13:55:37	265.332	1.493672e-013	28/11/2022 13:55:37	265.545	3.745673e-014	28/11/2022 13:55:38	266.585	4.134671e-014
